PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39764737,The miRNA-mRNA Regulatory Network in Human Hepatocellular Carcinoma by Transcriptomic Analysis From GEO.,2025 Jan,,,Not Available
39764736,"Urgent Call for Attention to HIV-Associated Lymphoma: After AIDS 2024, the 25th International AIDS Conference.",2025 Jan,,,Not Available
39764733,Enhanced safety and efficacy profile of CD40 antibody upon encapsulation in pHe-triggered membrane-adhesive nanoliposomes.,2025 Jan,,,Not Available
39764729,"COLOFIT: Development and Internal-External Validation of Models Using Age, Sex, Faecal Immunochemical and Blood Tests to Optimise Diagnosis of Colorectal Cancer in Symptomatic Patients.",2025 Jan 07,"C J Rees, S C Benton, N Hunt",,Not Available
39764709,Relevance of Sentinel Nodes in Atypical Territories in Surgically Treated Patients With T1-2N0 Oral Squamous Cell Carcinoma.,2025 Jan 07,"Alejandro Mazarro Campos, Alejandro Mazarro Campos, Manel Sáez Barba, Manel Sáez Barba, Alba de Pablo García-Cuenca, Alba de Pablo García-Cuenca, Jorge Pamias-Romero, Jorge Pamias-Romero, Isabel Roca-Bielsa, Isabel Roca-Bielsa, Margarita Alberola-Ferranti, Margarita Alberola-Ferranti, Coro Bescós-Atín, Coro Bescós-Atín, Coro Bescós-Atín",,Not Available
39764704,Refinement of a Published Gene-Physical Activity Interaction Impacting HDL-Cholesterol: Role of Sex and Lipoprotein Subfractions.,2025 Jan,"Kenneth E Westerman, Magdalena Sevilla-Gonzalez, Samia Mora, Samia Mora, Samia Mora, Hugues Aschard, Daniel I Chasman, Daniel I Chasman, Alisa K Manning",,Not Available
39764697,Targeting SETDB1 in cancer and immune regulation: Potential therapeutic strategies in cancer.,2025 Jan 07,,,Not Available
39764693,NGR-poly(2-ethyl-2-oxazoline)-cholesteryl methyl carbonate enhances the antitumor effect of quercetin liposomes in triple-negative breast cancer.,2025 Jan 07,,,Not Available
39764692,Methodological description of knowledge translation: Implementation of clinical practice guidelines into clinical practice.,2025 Jan 07,Alaina Newell,,Not Available
39764691,"The Association Between Body Composition, Overall Survival, Treatment Decisions, and Patient-Reported Outcomes in Metastatic Non-Small-Cell Lung Cancer.",2025 Jan,,,Not Available
